시군구,행정동,합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상
합계,소계,9331828,202897,280883,352036,368731,530569,777691,796699,645966,708639,675311,775758,710310,692690,633549,436781,336990,234945,120305,40067,9527,1484
종로구,소계,138336,2254,3257,4420,4958,8639,12324,11326,8428,9340,9147,11851,11525,11293,9723,6478,5389,4337,2500,884,222,41
종로구,청운효자동,11030,220,324,476,533,562,752,821,704,868,899,1008,887,760,663,477,420,340,219,78,16,3
종로구,사직동,8962,157,257,318,310,396,628,819,619,740,660,762,690,679,592,376,334,309,208,78,23,7
종로구,삼청동,2219,32,49,70,85,83,156,146,140,165,142,171,165,184,196,131,122,98,53,26,5,-
종로구,부암동,9051,125,245,368,401,478,566,665,538,659,675,833,787,725,664,412,372,272,174,63,27,2
종로구,평창동,17251,370,569,752,759,898,1011,1053,997,1240,1165,1527,1577,1526,1300,818,663,481,347,153,33,12
종로구,무악동,7839,188,310,468,451,417,376,388,427,597,648,818,590,617,486,351,268,248,136,42,10,3
종로구,교남동,9552,291,423,348,386,425,637,696,725,833,790,903,735,618,574,403,334,233,148,38,12,-
종로구,가회동,3778,55,97,146,157,157,217,275,238,290,298,359,313,304,242,190,176,147,78,29,9,1
종로구,종로1.2.3.4가동,6668,79,70,108,104,297,651,570,422,450,395,492,565,656,649,409,316,259,121,40,11,4
종로구,종로5.6가동,5294,52,87,88,101,356,720,614,333,291,280,381,433,453,352,237,228,176,78,27,7,-
종로구,이화동,7009,68,93,138,194,505,1040,797,462,426,367,499,503,517,413,325,259,220,129,44,10,-
종로구,혜화동,15822,188,283,493,664,2141,2125,1268,781,917,906,1263,1065,966,771,564,541,487,279,95,19,6
종로구,창신1동,4495,51,49,71,90,202,358,363,238,226,230,340,462,531,491,294,217,153,100,26,3,-
종로구,창신2동,7333,68,79,129,182,330,547,527,376,341,400,716,849,864,693,442,333,277,128,41,11,-
종로구,창신3동,6231,135,135,174,221,314,447,518,393,402,379,523,600,600,501,316,238,193,95,38,8,1
